Timestamp,Metric Value
50047,1504
50047,80
50047,52
50047,80
50047,80
50047,80
50047,52
50047,52
50047,52
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
50047,1504
100047,1504
100047,52
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
100047,1504
150047,1504
150047,52
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
150047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
200047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
250047,1504
